date ,volume
"fev 09, 1990",7399
"fev 16, 1990",7399
"fev 23, 1990",7399
"mar 02, 1990",7411
"mar 09, 1990",7411
"mar 16, 1990",7411
"mar 23, 1990",7411
"mar 30, 1990",7411
"abr 06, 1990",7310
"abr 13, 1990",7310
"abr 20, 1990",7310
"abr 27, 1990",7310
"mai 04, 1990",7241
"mai 11, 1990",7241
"mai 18, 1990",7241
"mai 25, 1990",7241
"jun 01, 1990",7241
"jun 08, 1990",6981
"jun 15, 1990",6981
"jun 22, 1990",6981
"jun 29, 1990",6981
"jul 06, 1990",7130
"jul 13, 1990",7130
"jul 20, 1990",7130
"jul 27, 1990",7130
"ago 03, 1990",6971
"ago 10, 1990",6971
"ago 17, 1990",6971
"ago 24, 1990",6971
"ago 31, 1990",6971
"set 07, 1990",6991
"set 14, 1990",6991
"set 21, 1990",7041
"set 28, 1990",7041
"out 05, 1990",7261
"out 12, 1990",7261
"out 19, 1990",7261
"out 26, 1990",7329
"nov 02, 1990",7342
"nov 09, 1990",7284
"nov 16, 1990",6910
"nov 23, 1990",7440
"nov 30, 1990",7235
"dez 07, 1990",6996
"dez 14, 1990",7474
"dez 21, 1990",7245
"dez 28, 1990",7559
"jan 04, 1991",7481
"jan 11, 1991",7475
"jan 18, 1991",7461
"jan 25, 1991",7219
"fev 01, 1991",7477
"fev 08, 1991",7463
"fev 15, 1991",7427
"fev 22, 1991",7415
"mar 01, 1991",7404
"mar 08, 1991",7394
"mar 15, 1991",7412
"mar 22, 1991",7385
"mar 29, 1991",7383
"abr 05, 1991",7356
"abr 12, 1991",7334
"abr 19, 1991",7370
"abr 26, 1991",7346
"mai 03, 1991",7295
"mai 10, 1991",7303
"mai 17, 1991",7280
"mai 24, 1991",7336
"mai 31, 1991",7323
"jun 07, 1991",7301
"jun 14, 1991",7359
"jun 21, 1991",7338
"jun 28, 1991",7377
"jul 05, 1991",7383
"jul 12, 1991",7365
"jul 19, 1991",7348
"jul 26, 1991",7355
"ago 02, 1991",7342
"ago 09, 1991",7228
"ago 16, 1991",7302
"ago 23, 1991",7215
"ago 30, 1991",7274
"set 06, 1991",7150
"set 13, 1991",7267
"set 20, 1991",7327
"set 27, 1991",7365
"out 04, 1991",7381
"out 11, 1991",7387
"out 18, 1991",7381
"out 25, 1991",7384
"nov 01, 1991",7359
"nov 08, 1991",7140
"nov 15, 1991",7426
"nov 22, 1991",7388
"nov 29, 1991",7226
"dez 06, 1991",7376
"dez 13, 1991",6731
"dez 20, 1991",7451
"dez 27, 1991",7449
"jan 03, 1992",7422
"jan 10, 1992",7410
"jan 17, 1992",7235
"jan 24, 1992",7343
"jan 31, 1992",7357
"fev 07, 1992",7382
"fev 14, 1992",7364
"fev 21, 1992",7329
"fev 28, 1992",7365
"mar 06, 1992",7357
"mar 13, 1992",7345
"mar 20, 1992",7324
"mar 27, 1992",7283
"abr 03, 1992",7327
"abr 10, 1992",7277
"abr 17, 1992",7353
"abr 24, 1992",7238
"mai 01, 1992",7235
"mai 08, 1992",7248
"mai 15, 1992",7160
"mai 22, 1992",7205
"mai 29, 1992",7219
"jun 05, 1992",7240
"jun 12, 1992",7228
"jun 19, 1992",7218
"jun 26, 1992",7194
"jul 03, 1992",7221
"jul 10, 1992",7125
"jul 17, 1992",7144
"jul 24, 1992",7095
"jul 31, 1992",7059
"ago 07, 1992",7124
"ago 14, 1992",6990
"ago 21, 1992",7120
"ago 28, 1992",6678
"set 04, 1992",6847
"set 11, 1992",6955
"set 18, 1992",7012
"set 25, 1992",7049
"out 02, 1992",7046
"out 09, 1992",7011
"out 16, 1992",7032
"out 23, 1992",7036
"out 30, 1992",7041
"nov 06, 1992",7011
"nov 13, 1992",6954
"nov 20, 1992",6987
"nov 27, 1992",7064
"dez 04, 1992",7074
"dez 11, 1992",7087
"dez 18, 1992",7098
"dez 25, 1992",7053
"jan 01, 1993",6995
"jan 08, 1993",7015
"jan 15, 1993",6994
"jan 22, 1993",7043
"jan 29, 1993",7035
"fev 05, 1993",7031
"fev 12, 1993",7033
"fev 19, 1993",6960
"fev 26, 1993",6981
"mar 05, 1993",7018
"mar 12, 1993",6981
"mar 19, 1993",6979
"mar 26, 1993",6964
"abr 02, 1993",6971
"abr 09, 1993",6883
"abr 16, 1993",6896
"abr 23, 1993",6912
"abr 30, 1993",6913
"mai 07, 1993",6902
"mai 14, 1993",6846
"mai 21, 1993",6818
"mai 28, 1993",6842
"jun 04, 1993",6789
"jun 11, 1993",6817
"jun 18, 1993",6766
"jun 25, 1993",6749
"jul 02, 1993",6742
"jul 09, 1993",6772
"jul 16, 1993",6643
"jul 23, 1993",6540
"jul 30, 1993",6730
"ago 06, 1993",6753
"ago 13, 1993",6761
"ago 20, 1993",6774
"ago 27, 1993",6790
"set 03, 1993",6734
"set 10, 1993",6665
"set 17, 1993",6706
"set 24, 1993",6650
"out 01, 1993",6684
"out 08, 1993",6654
"out 15, 1993",6772
"out 22, 1993",6837
"out 29, 1993",6868
"nov 05, 1993",6872
"nov 12, 1993",6882
"nov 19, 1993",6847
"nov 26, 1993",6878
"dez 03, 1993",6943
"dez 10, 1993",6923
"dez 17, 1993",6897
"dez 24, 1993",6854
"dez 31, 1993",6857
"jan 07, 1994",6875
"jan 14, 1994",6880
"jan 21, 1994",6845
"jan 28, 1994",6886
"fev 04, 1994",6836
"fev 11, 1994",6802
"fev 18, 1994",6546
"fev 25, 1994",6792
"mar 04, 1994",6763
"mar 11, 1994",6704
"mar 18, 1994",6728
"mar 25, 1994",6599
"abr 01, 1994",6683
"abr 08, 1994",6641
"abr 15, 1994",6711
"abr 22, 1994",6292
"abr 29, 1994",6748
"mai 06, 1994",6706
"mai 13, 1994",6657
"mai 20, 1994",6732
"mai 27, 1994",6629
"jun 03, 1994",6695
"jun 10, 1994",6530
"jun 17, 1994",6648
"jun 24, 1994",6656
"jul 01, 1994",6604
"jul 08, 1994",6591
"jul 15, 1994",6618
"jul 22, 1994",6522
"jul 29, 1994",6566
"ago 05, 1994",6582
"ago 12, 1994",6521
"ago 19, 1994",6540
"ago 26, 1994",6583
"set 02, 1994",6552
"set 09, 1994",6545
"set 16, 1994",6526
"set 23, 1994",6595
"set 30, 1994",6640
"out 07, 1994",6692
"out 14, 1994",6703
"out 21, 1994",6703
"out 28, 1994",6633
"nov 04, 1994",6620
"nov 11, 1994",6616
"nov 18, 1994",6668
"nov 25, 1994",6626
"dez 02, 1994",6472
"dez 09, 1994",6670
"dez 16, 1994",6655
"dez 23, 1994",6703
"dez 30, 1994",6675
"jan 06, 1995",6651
"jan 13, 1995",6672
"jan 20, 1995",6571
"jan 27, 1995",6526
